match_id,minute,second,action,x,y,outcome
3754341,4,11,Tackle,45.3,57.6,Success In Play
3754341,12,6,Tackle,79.0,45.7,Lost In Play
3754341,19,36,Tackle,49.4,64.2,Success In Play
3754341,31,23,Interception,68.8,25.1,Lost In Play
3754341,53,25,Interception,22.7,50.0,Won
3754341,71,42,Interception,67.4,8.4,Lost In Play
3754341,71,46,Tackle,70.0,3.7,Won
3754341,75,31,Interception,17.3,26.5,Won
3754341,80,20,Interception,92.9,16.3,Won
3754341,82,53,Tackle,18.3,76.6,Lost Out
3754228,1,57,Tackle,55.9,3.9,Success In Play
3754228,7,13,Interception,79.3,4.1,Won
3754228,17,42,Interception,45.1,18.7,Lost In Play
3754228,23,58,Interception,35.9,64.8,Lost Out
3754228,26,59,Interception,77.7,60.2,Lost In Play
3754228,30,43,Interception,69.5,10.2,Won
3754228,43,43,Interception,18.4,3.5,Won
3754228,57,43,Tackle,34.0,40.9,Success In Play
3754228,65,49,Tackle,74.7,58.3,Success In Play
3754228,66,56,Interception,83.1,19.4,Success In Play
3754228,68,9,Interception,13.4,45.9,Won
3754290,0,58,Interception,74.0,27.1,Success In Play
3754290,4,2,Interception,28.1,51.4,Won
3754290,21,27,Tackle,34.1,36.5,Success In Play
3754290,22,14,Tackle,21.1,67.4,Success In Play
3754290,30,46,Tackle,32.5,58.8,Lost Out
3754290,33,1,Tackle,27.5,61.8,Lost In Play
3754290,33,10,Interception,32.5,59.0,Lost In Play
3754290,38,5,Interception,27.5,24.5,Success In Play
3754290,39,3,Interception,52.4,16.2,Lost Out
3754290,47,21,Interception,27.6,24.6,Lost In Play
3754290,52,46,Tackle,14.4,72.1,Success In Play
3754290,64,35,Tackle,39.4,52.5,Success In Play
3754290,73,40,Interception,37.3,19.5,Success In Play
3754290,90,13,Tackle,12.2,74.6,Lost Out
3754013,0,48,Tackle,57.0,17.9,Won
3754013,2,18,Tackle,4.3,8.4,Won
3754013,49,50,Tackle,81.2,26.1,Lost In Play
3754013,51,48,Tackle,54.7,44.3,Won
3754013,72,3,Tackle,43.8,31.3,Success In Play
3754013,89,40,Tackle,49.5,73.5,Success In Play
3754156,4,39,Tackle,62.5,24.1,Lost In Play
3754156,39,39,Interception,39.3,65.0,Won
3754156,60,37,Interception,57.2,41.2,Success In Play
3754156,71,27,Interception,78.5,4.4,Lost In Play
3754156,80,29,Tackle,25.1,29.9,Lost In Play
3754156,81,30,Tackle,70.0,7.0,Success In Play
3754156,86,48,Tackle,76.0,63.9,Lost In Play
3754033,6,32,Tackle,26.8,22.9,Lost In Play
3754033,11,8,Interception,58.7,70.4,Won
3754033,24,3,Interception,54.7,3.4,Lost In Play
3754033,33,23,Tackle,68.2,13.2,Success In Play
3754033,46,17,Tackle,21.9,26.7,Lost In Play
3754033,51,35,Tackle,77.0,29.0,Success In Play
3754033,53,21,Interception,15.7,77.2,Lost Out
3754033,53,38,Interception,10.1,72.9,Lost Out
3754033,73,21,Tackle,14.1,73.5,Lost Out
3754049,14,28,Tackle,41.1,73.8,Lost Out
3754049,21,53,Interception,34.4,53.8,Won
3754049,29,4,Tackle,21.7,54.7,Success In Play
3754049,53,20,Tackle,29.0,44.5,Won
3754049,64,9,Interception,55.3,44.6,Success In Play
3754065,2,9,Tackle,43.5,55.5,Lost Out
3754065,12,4,Interception,50.5,5.3,Won
3754065,31,18,Tackle,33.0,10.0,Success In Play
3754065,48,15,Interception,75.9,39.1,Lost In Play
3754065,62,46,Tackle,65.2,42.4,Lost In Play
3754065,66,15,Tackle,40.9,41.0,Success In Play
3754065,91,37,Tackle,13.6,11.2,Lost In Play
3754065,93,26,Interception,25.4,24.6,Won
3754045,5,6,Tackle,54.9,4.3,Success In Play
3754045,10,20,Tackle,2.7,15.8,Lost Out
3754045,26,2,Tackle,25.3,57.4,Success In Play
3754045,37,36,Interception,80.2,11.8,Lost In Play
3754045,50,27,Interception,69.3,17.2,Success Out
3754045,84,53,Tackle,54.3,20.9,Success In Play
