match_id,side,type,name,time
1,home,goal,Vardy,11'
1,home,goal,Mahrez,18'
1,home,goal,Mahrez,25'
1,home,goal,Albrighton,66'
1,away,goal,Defoe,60'
1,away,goal,Fletcher,71'
2,home,goal,Payet,55'
2,home,red,Adrián,90+2'
2,away,goal,Okazaki,27'
2,away,goal,Mahrez,38'
3,home,goal,Mahrez,82'
3,away,goal,Alli,81'
4,home,goal,Wilson,24'
4,away,goal,Vardy,86'
5,home,goal,De Laet,72'
5,home,goal,Vardy,82'
5,home,goal,Dyer,89'
5,away,goal,Grealish,39'
5,away,goal,Gil,63'
6,home,goal,Bojan,13'
6,home,goal,Walters,20'
6,away,goal,Mahrez,51'
6,away,goal,Vardy,69'
7,home,goal,Vardy,13'
7,home,goal,Vardy,89'
7,away,goal,Walcott,18'
7,away,goal,Sánchez,33'
7,away,goal,Sánchez,57'
7,away,goal,Sánchez,81'
7,away,goal,Giroud,90+3'
8,home,goal,Mbokani,68'
8,away,goal,Vardy,28'
8,away,goal,Schlupp,47'
9,home,goal,Fonte,21'
9,home,goal,Van Dijk,37'
9,away,goal,Vardy,66'
9,away,goal,Vardy,90+1'
10,home,goal,Vardy,60'
11,home,goal,Rondón,30'
11,home,goal,Lambert,86'
11,away,goal,Mahrez,57'
11,away,goal,Mahrez,64'
11,away,goal,Vardy,77'
12,home,goal,Kanté,52'
12,home,goal,Vardy,65'
12,away,goal,Deeney,75'
13,away,goal,Vardy,45+1'
13,away,goal,Ulloa,62'
13,away,goal,Okazaki,83'
14,home,goal,Vardy,24'
14,away,goal,Schweinsteiger,45+1'
15,away,goal,Mahrez,5'
15,away,goal,Mahrez,22'
15,away,goal,Mahrez,67'
16,home,goal,Vardy,34'
16,home,goal,Mahrez,48'
16,away,goal,Rémy,77'
17,home,goal,Lukaku,32'
17,home,goal,Mirallas,89'
17,away,goal,Mahrez,27'
17,away,goal,Mahrez,65'
17,away,goal,Okazaki,69'
18,home,goal,Benteke,63'
20,away,red,Francis,57'
21,away,goal,Huth,83'
22,home,goal,Gestede,75'
22,away,goal,Okazaki,28'
23,home,goal,Drinkwater,41'
23,home,goal,Vardy,66'
23,home,goal,Ulloa,87'
24,home,goal,Vardy,60'
24,home,goal,Vardy,71'
25,home,goal,Agüero,87'
25,away,goal,Huth,3'
25,away,goal,Huth,60'
25,away,goal,Mahrez,48'
26,home,goal,Walcott,70'
26,home,goal,Welbeck,90+5'
26,away,goal,Vardy,45'
26,away,red,Simpson,49'
26,away,red,Simpson,54'
27,home,goal,Ulloa,89'
28,home,goal,Olsson,30'
28,home,goal,King,45+1'
28,away,goal,Rondón,11'
28,away,goal,Gardner,50'
29,away,goal,Mahrez,56'
30,home,goal,Okazaki,25'
31,away,goal,Mahrez,34'
32,home,goal,Morgan,38'
33,away,goal,Vardy,66'
33,away,goal,Vardy,90+5'
34,home,goal,Vardy,18'
34,home,red,Vardy,28'
34,home,red,Vardy,56'
34,home,goal,Ulloa,90+5'
34,away,goal,Carroll,84'
34,away,goal,Cresswell,86'
35,home,goal,Mahrez,10'
35,home,goal,Ulloa,30'
35,home,goal,Ulloa,60'
35,home,goal,Albrighton,85'
36,home,goal,Martial,8'
36,away,goal,Morgan,17'
36,away,red,Drinkwater,58'
36,away,red,Drinkwater,87'
37,home,goal,Vardy,5'
37,home,goal,Vardy,65'
37,home,goal,King,33'
37,away,goal,Mirallas,88'
38,home,goal,Fàbregas,66'
38,away,goal,Drinkwater,82'
